"","user.self","sys.self","elapsed","user.child","sys.child","test"
"1",93.75,7.1,100.94,NA,NA,"test1"
"2",4.46000000000004,0.590000000000003,5.04999999999995,NA,NA,"test2"
"3",4.38,0.579999999999998,4.97000000000003,NA,NA,"test3"
"4",13.9399999999999,0.5,14.4400000000001,NA,NA,"test4"
"5",13.66,0.549999999999997,14.2,NA,NA,"test5"
"6",38.09,0.890000000000001,39.0899999999999,NA,NA,"test6"
"7",38.26,0.810000000000002,39.1299999999999,NA,NA,"test7"
"8",5.47000000000003,0.380000000000003,5.83999999999992,NA,NA,"test8"
"9",5.24000000000001,0.380000000000003,5.67000000000007,NA,NA,"test9"
"10",29.8099999999999,0.439999999999998,30.25,NA,NA,"test10"
"11",29.5899999999999,0.339999999999996,30,NA,NA,"test11"
"12",93.3599999999999,6.26,99.7,NA,NA,"test1"
"13",4.26999999999998,0.75,5.05000000000018,NA,NA,"test2"
"14",4.25999999999999,0.660000000000004,4.93999999999983,NA,NA,"test3"
"15",13.98,0.469999999999999,14.48,NA,NA,"test4"
"16",13.8599999999999,0.489999999999995,14.3599999999999,NA,NA,"test5"
"17",38.74,0.629999999999995,39.3700000000001,NA,NA,"test6"
"18",38.72,0.689999999999998,39.53,NA,NA,"test7"
"19",5.6099999999999,0.279999999999987,5.8900000000001,NA,NA,"test8"
"20",5.27999999999997,0.36999999999999,5.69000000000005,NA,NA,"test9"
"21",30.1400000000001,0.409999999999997,30.5500000000002,NA,NA,"test10"
"22",29.7,0.370000000000005,30.1099999999999,NA,NA,"test11"
"23",92.95,7.16999999999999,100.22,NA,NA,"test1"
"24",4.45000000000005,0.640000000000001,5.10000000000014,NA,NA,"test2"
"25",4.38000000000011,0.549999999999997,4.92000000000007,NA,NA,"test3"
"26",14,0.640000000000001,14.6799999999998,NA,NA,"test4"
"27",13.96,0.540000000000006,14.5,NA,NA,"test5"
"28",38.5700000000002,0.75,39.3199999999999,NA,NA,"test6"
"29",38.28,0.699999999999989,39.04,NA,NA,"test7"
"30",5.62000000000012,0.310000000000002,5.90999999999985,NA,NA,"test8"
"31",5.19000000000005,0.359999999999999,5.54999999999995,NA,NA,"test9"
"32",30.0699999999999,0.480000000000004,30.5799999999999,NA,NA,"test10"
"33",30.04,0.299999999999997,30.3399999999999,NA,NA,"test11"
"34",94.3699999999999,6.97999999999999,101.5,NA,NA,"test1"
"35",4.47000000000003,0.719999999999999,5.21000000000004,NA,NA,"test2"
"36",4.38000000000011,0.579999999999998,4.94999999999982,NA,NA,"test3"
"37",14,0.689999999999998,14.6999999999998,NA,NA,"test4"
"38",13.97,0.609999999999999,14.6199999999999,NA,NA,"test5"
"39",39.1999999999998,0.780000000000001,40.0500000000002,NA,NA,"test6"
"40",39.2400000000002,0.820000000000007,40.0999999999999,NA,NA,"test7"
"41",5.55000000000018,0.370000000000005,5.9699999999998,NA,NA,"test8"
"42",5.42000000000007,0.310000000000002,5.71000000000004,NA,NA,"test9"
"43",30.5100000000002,0.429999999999993,30.98,NA,NA,"test10"
"44",29.75,0.329999999999998,30.1700000000001,NA,NA,"test11"
"45",93.52,6.41999999999999,100.16,NA,NA,"test1"
"46",4.44000000000005,0.609999999999999,5.07000000000016,NA,NA,"test2"
"47",4.44000000000005,0.540000000000006,4.9699999999998,NA,NA,"test3"
"48",14.23,0.570000000000007,14.8600000000001,NA,NA,"test4"
"49",13.6700000000001,0.560000000000002,14.23,NA,NA,"test5"
"50",38.27,0.799999999999997,39.0799999999999,NA,NA,"test6"
"51",38.6999999999998,0.830000000000013,39.6100000000001,NA,NA,"test7"
"52",5.57999999999993,0.25,5.84000000000015,NA,NA,"test8"
"53",5.19999999999982,0.530000000000001,5.71000000000004,NA,NA,"test9"
"54",30.0299999999997,0.439999999999998,30.5,NA,NA,"test10"
"55",30.0799999999999,0.459999999999994,30.5800000000004,NA,NA,"test11"
"56",82.9400000000001,7.58,90.6100000000001,NA,NA,"test1"
"57",4.51999999999998,0.539999999999992,5.05999999999995,NA,NA,"test2"
"58",4.40000000000009,0.550000000000011,4.94999999999982,NA,NA,"test3"
"59",14.1700000000001,0.639999999999986,14.8600000000001,NA,NA,"test4"
"60",14,0.580000000000013,14.5799999999999,NA,NA,"test5"
"61",38.8600000000001,0.769999999999982,39.6199999999999,NA,NA,"test6"
"62",39.0900000000001,0.689999999999998,39.8200000000002,NA,NA,"test7"
"63",5.57999999999993,0.269999999999982,5.86000000000013,NA,NA,"test8"
"64",5.51999999999998,0.289999999999992,5.76000000000022,NA,NA,"test9"
"65",30.5699999999997,0.360000000000014,30.9199999999996,NA,NA,"test10"
"66",30.79,0.439999999999998,31.2400000000002,NA,NA,"test11"
"67",94.4700000000003,8.05000000000001,102.59,NA,NA,"test1"
"68",4.42000000000007,0.639999999999986,5.05999999999995,NA,NA,"test2"
"69",4.36000000000013,0.659999999999997,5.01999999999998,NA,NA,"test3"
"70",14.1500000000001,0.590000000000003,14.7399999999998,NA,NA,"test4"
"71",14.5,0.509999999999991,15.0599999999999,NA,NA,"test5"
"72",39.25,0.75,40.0599999999999,NA,NA,"test6"
"73",39.5499999999997,0.900000000000006,40.5299999999997,NA,NA,"test7"
"74",5.38999999999987,0.379999999999995,5.78999999999996,NA,NA,"test8"
"75",5.19999999999982,0.379999999999995,5.57000000000016,NA,NA,"test9"
"76",30.4099999999999,0.52000000000001,30.9699999999998,NA,NA,"test10"
"77",30.0599999999999,0.460000000000008,30.54,NA,NA,"test11"
"78",94.1300000000001,6.81,100.96,NA,NA,"test1"
